x,y,token
24.689297,-41.201378,the
24.608694,-41.07349,and
24.766306,-41.380833,of
24.855543,-40.68911,to
24.917112,-38.946712,a
24.823818,-41.58534,in
28.985376,-10.9668255,i
26.631924,-38.756767,that
24.124388,-34.867428,he
26.319866,-38.12601,it
24.097118,-35.301727,his
26.705118,-39.445282,for
30.824486,-40.33751,was
24.40669,-41.099503,with
27.121618,-38.56742,not
32.153423,-40.26004,is
29.001667,-10.920404,you
27.454647,-39.178368,be
25.26974,-36.657505,as
26.81722,-38.863884,but
24.438272,-40.89915,all
22.876356,-33.7583,they
23.695839,-34.390274,him
14.332495,27.654526,shall
52.181007,-26.206076,her
28.841507,-24.68159,my
30.804335,-40.13841,had
23.1008,-34.09649,them
30.572227,-39.704304,have
21.462175,-23.018742,s
23.757162,-34.274845,me
45.666397,-32.20898,said
26.473787,-40.921726,at
52.1675,-26.17863,she
24.36635,-42.304756,from
-28.422018,31.166073,unto
25.66982,-38.833477,this
26.335423,-39.209972,which
22.37644,-41.59839,on
-32.3748,43.744114,lord
25.114983,-41.73616,by
22.773636,-34.249256,their
25.303928,-36.662834,so
14.396035,27.632929,will
31.137703,-41.07141,were
31.282675,-41.17337,are
24.272652,-25.633322,there
24.27088,-29.45862,when
25.142897,-41.866215,or
18.470871,-26.865324,one
40.499966,-8.765951,no
27.514116,-38.21886,what
43.20149,-34.46597,"."""
23.091793,-44.08167,out
28.245111,-26.358538,man
-27.62487,50.21502,thy
18.98328,-24.032066,--
-25.0289,50.084812,thou
-32.1799,43.69069,god
26.988132,-38.762287,if
28.537394,-11.456773,we
29.053106,-10.908387,your
27.259466,-36.62799,then
7.831494,-48.754044,up
24.655775,-38.80421,an
-27.547487,50.242496,thee
28.418919,-5.0582337,do
39.74756,-29.718054,","""
25.347843,-22.839954,now
-10.450328,49.33277,ye
22.29536,-41.607147,upon
30.25319,-29.310825,who
23.83459,-43.1948,into
2.115499,-14.794415,more
15.485467,25.633957,would
38.03406,-3.4080982,very
2.5841827,38.742237,come
15.57894,25.364697,could
5.06281,-40.991737,like
19.410322,-14.154968,before
47.284946,2.7454188,been
40.506786,-8.745003,any
10.270737,-58.658127,came
40.676476,-13.451926,day
-43.44253,24.913849,king
15.599783,25.209084,did
29.449251,-4.512605,know
2.2167032,-14.904779,than
-53.42819,0.25524855,house
24.950954,-32.341278,little
18.502268,-27.651953,every
-37.730988,47.541374,1
26.822289,-14.88029,see
0.68431777,-1.695469,these
2.4260664,38.892006,go
28.853035,3.4637814,good
7.8410454,-48.77741,down
-37.990948,47.42011,2
12.52043,24.944826,us
-22.219479,23.177649,people
16.963797,29.675917,am
17.838139,-24.149347,some
-56.16814,33.25616,son
23.80917,-28.154009,made
-2.0949526,-3.8429096,men
16.538671,-26.718676,after
36.79634,-5.0236573,how
12.50059,24.921555,our
36.20164,-14.966064,time
13.866469,-28.43851,great
12.563174,26.47556,let
-38.09077,47.37824,3
32.25516,-3.910878,say
-1.9026198,50.746376,d
25.463758,-25.209242,about
-59.605835,16.080116,israel
19.449974,-4.6393895,such
8.246933,-45.081352,over
15.411171,25.906021,should
15.244166,26.320358,may
-22.71156,33.930286,hath
-38.489586,47.233067,4
32.59317,-1.159724,well
25.569555,-25.510487,only
23.651987,-27.49583,even
18.429565,-26.826656,other
7.0876203,-57.441063,hand
-70.9518,5.0011525,two
-39.277,47.04481,7
15.331755,26.256346,must
-38.21968,47.291054,5
15.170758,27.395123,can
-32.715153,8.535231,against
-39.008564,47.193645,6
30.261751,-6.2641125,"?"""
25.226604,6.939856,much
10.264382,-58.655613,went
17.991468,28.553041,make
-25.990139,22.72349,children
8.690297,20.249243,yet
-39.334995,47.211067,9
7.4156656,22.044748,own
-39.203617,47.230648,8
-21.301256,24.293789,also
-39.18502,47.184803,10
22.742529,-44.77977,again
-49.291122,41.78361,father
-39.534786,47.39374,11
20.221375,-25.919247,old
-53.296516,11.4687395,land
-29.257925,39.391838,o
